StudyUnit,StudyArea,ProjectID,USGSStatio,PSCode,SampleDate,Latitude,Longitude,PSCode_Num,Retailer N,Retailer_1,Elevation,NAME1,NodeCodes_,MET_MEMBER,RET_TYPE,xcoord,ycoord,flag
San Gabriel & San Fernando Valleys,San Fernando,ULASF-11,3.419E+14,1900639-001,6/9/2005,34.31922222,-118.3301667,1900639,HATHAWAY-SYCAMORES CHILD FAMILY SVCS,,0,,,,,6461974.467,1938716.81,0
Coastal Los Angeles basins,Central Basin,CLABCB-10,3.35818E+14,1910049-007,8/22/2006,33.97156444,-118.2022938,1910049,Huntington Park  City of,City of Huntington Park,143,CITY OF HUNTINGTON PARK,CTY_HUP,,CITY RETAILER,6500330.363,1812095.568,0
Coastal Los Angeles basins,Central Basin,CLABCB-11,3.35742E+14,1910049-004,8/22/2006,33.9618923,-118.1934434,1910049,Huntington Park  City of,City of Huntington Park,132,CITY OF HUNTINGTON PARK,CTY_HUP,,CITY RETAILER,6503007.063,1808570.393,0
Coastal Los Angeles basins,West Basin,CLABWB-05,3.355E+14,1910051-013,9/12/2006,33.926,-118.3364722,1910051,Inglewood  City of,City of Inglewood,62,GOLDEN STATE WATER CO. - METROPOLITAN,IOU_GSM12,,INVESTOR OWNED UTILITY,6459591.541,1795622.794,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-07,3.411E+14,1910063-002,6/14/2005,34.19505556,-118.1635,1910063,Lincoln Avenue Water Company,Lincoln Avenue Water Company,1209,LINCOLN AVENUE WATER COMPANY,MWC_LAV,,MUTUAL WATER COMPANY,6512225.085,1893406.773,0
Coastal Los Angeles basins,West Basin,CLABWB-10,3.34704E+14,na,11/16/2006,33.78572222,-118.3247778,na,Lomita  City of,City of Lomita,0,,CTY_LOM,,,6462974.295,1744560.781,0
Coastal Los Angeles basins,Central Basin,CLABCB-04,3.34836E+14,1910065-005,8/17/2006,33.81033333,-118.1033611,1910065,Long Beach  City of,City of Long Beach,22,CITY OF LONG BEACH,CTY_LBH,YES,CITY RETAILER,6530266.809,1753374.143,0
Coastal Los Angeles basins,Central Basin,CLABCB-05,3.34837E+14,1910065-012,8/21/2006,33.81027778,-118.1508333,1910065,Long Beach  City of,City of Long Beach,37,CITY OF LONG BEACH,CTY_LBH,YES,CITY RETAILER,6515845.305,1753372.162,0
Coastal Los Angeles basins,Central Basin,CLABCB-06,3.34944E+14,1910065-057,8/21/2006,33.82888889,-118.0877778,1910065,Long Beach  City of,City of Long Beach,55,CITY OF LONG BEACH,CTY_LBH,YES,CITY RETAILER,6535006.724,1760122.5,0
Coastal Los Angeles basins,Central Basin,CLABCB-21,3.35215E+14,na,11/16/2006,33.87897222,-118.1732222,na,Long Beach  City of,City of Long Beach,0,CITY OF LONG BEACH,CTY_LBH,YES,CITY RETAILER,6509086.912,1778382.748,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-01,3.418E+14,1910075-003,5/24/2005,34.30469444,-118.381,1910075,Los Angeles County Public Works Waterworks District 21,Los Angeles County Public Works Waterworks District 21,1668,,CWD_LA1,,,6446605.633,1933484.215,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-02,3.417E+14,1910067-059,5/24/2005,34.29391667,-118.4575278,1910067,Los Angeles Department of Water and Power,City of Los Angeles,1141,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6423476.725,1929658.424,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-04,3.413E+14,1910067-186,5/25/2005,34.23036111,-118.4130833,1910067,Los Angeles Department of Water and Power,City of Los Angeles,852,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6436805.441,1906471.456,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-05,3.411E+14,1910067-070,5/26/2005,34.19405556,-118.4159444,1910067,Los Angeles Department of Water and Power,City of Los Angeles,723,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6435885.959,1893262.888,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-06,3.40924E+14,1910067-145,5/26/2005,34.15677778,-118.3506944,1910067,Los Angeles Department of Water and Power,City of Los Angeles,568,CITY OF BURBANK,CTY_BUR,YES,CITY RETAILER,6455570.003,1879621.664,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-10,3.41E+14,1910067-151,6/8/2005,34.18177778,-118.3685833,1910067,Los Angeles Department of Water and Power,City of Los Angeles,660,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6450191.403,1888738.921,0
San Gabriel & San Fernando Valleys,San Fernando,ULASFU-03,3.40742E+14,1910067-110,6/9/2005,34.11152778,-118.2490556,1910067,Los Angeles Department of Water and Power,City of Los Angeles,415,CITY OF LOS ANGELES,CTY_LAX5,YES,CITY RETAILER,6486278.226,1863062.67,0
San Gabriel & San Fernando Valleys,San Fernando,ULASFU-04,3.413E+14,1910067-189,6/16/2005,34.23208333,-118.4107778,1910067,Los Angeles Department of Water and Power,City of Los Angeles,867,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6437504.874,1907095.342,0
San Gabriel & San Fernando Valleys,San Fernando,ULASFU-06,3.412E+14,1910067-122,7/20/2005,34.21255556,-118.4033889,1910067,Los Angeles Department of Water and Power,City of Los Angeles,786,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6439709.713,1899979.845,0
Coastal Los Angeles basins,Central Basin,CLABCB-08,3.35858E+14,1910067-053,8/22/2006,33.98281376,-118.3106276,1910067,Los Angeles Department of Water and Power,City of Los Angeles,137,CITY OF LOS ANGELES,CTY_LAX5,YES,CITY RETAILER,6467495.851,1816273.22,0
Coastal Los Angeles basins,Central Basin,CLABCB-09,3.356E+14,1910067-009,8/22/2006,33.94722222,-118.2569444,1910067,Los Angeles Department of Water and Power,City of Los Angeles,136,CITY OF LOS ANGELES,CTY_LAX5,YES,CITY RETAILER,6483737.466,1803274.79,0
