x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.4000015,33.9617996,446,10878.39,62297,0.126673174,3.09,6,66.48762608,1.316842437,15.66477387,18.21,63.35,18.43,52.83,0,35.41,35.87,19.28,17.22541906,0,9.64,90.35,10.0896861,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.2870026,33.8807983,148,17474.64,37143,0.035823332,4.23,8,67.07447052,1.109947324,67.67334749,33.71,56.87,9.42,3.83,0,85.78,9.52,70.27,74.26820115,16.22,58.79,25,0,0,73.275428,74.56864216,91.96706998,87.80372357,98.3820922,41.05201293
-118.2419968,33.7961998,137,3342.395,38897,0.233664789,5.7,6,67.0097787,1.151929498,44.04279929,31.11,65.17,3.71,0,0,99.23,24.64,42.34,42.39429572,8.76,39.42,51.83,7.299270073,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.2839966,33.8893013,377,8379.754,61985,0.149049725,3.31,8,67.09710693,1.109736085,57.67298524,25.46,62.61,11.93,0.72,33.55,46.12,31.56,31.03,72.92969727,0,56.76,43.24,0,0,74.60976838,74.56864216,90.68230011,90.31240139,0,95.70966794
-118.4580002,34.3102989,512,7079.396,56176,0.27361092,3.77,9,65.86386467,1.225463986,36.00918472,24.68,59.58,15.75,16.68,0,80.23,26.52,26.95,51.82636978,19.73,44.73,35.55,8.3984375,86.09557296,50.98187311,69.09227307,20.46900337,50.61533607,0,0
-118.4089966,33.9688988,459,11279.55,95875,0.108603592,2.67,6,66.45139058,1.348701,13.59699218,16.73,67.6,15.67,64.24,0,12.65,41.68,11.98,13.52264198,3.27,4.8,91.94,5.664488017,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4309998,33.9612007,427,12405.02,70426,0.069165571,2.01,6,66.34647522,1.369313478,11.22265771,9.91,73.31,16.78,57.11,1.52,15.15,49.18,50.59,19.90242682,2.11,87.58,10.3,13.1147541,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.4120026,33.9655991,201,8584.912,120313,0.071171372,3.04,6,66.42903137,1.350615501,13.59699218,21.6,63.51,14.89,45.99,0,34.86,51.83,0,13.52264198,0,0,100,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.2060013,34.0195999,690,19537.68,24083,0.126473559,3.58,8,67.28888512,1.186467648,66.18882193,34.84,54.59,10.56,0.24,0.93,94.21,19.19,87.68,67.40055041,0.72,44.78,54.5,6.086956522,38.85248522,87.61329305,74.56864216,30.94673818,79.77279899,71.63120567,69.11548634
-118.4110031,33.9728012,259,6456.81,140139,0.116466177,2.9,6,66.44787925,1.359362364,13.59699218,27.93,62.77,9.31,73.94,1.6,8.38,36.62,30.89,13.52264198,5.79,29.35,64.86,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4250031,33.9614983,390,8151.764,79634,0.111754958,2.34,6,66.3693924,1.365652919,11.22265771,18.33,74.31,7.35,63.23,3.62,17.89,29.31,33.59,19.90242682,14.87,17.17,67.95,21.02564103,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.3779984,33.9752998,1530,23469.3,63409,0.125994406,1.93,6,66.65891012,1.284328938,17.3416093,10.35,84.57,5.07,30.5,46.91,6.02,34.91,93.4,36.77758319,25.36,63.33,11.31,4.31372549,5.625699217,80.90382679,42.54813703,95.5469627,36.79394131,0,27.50514252
-118.4410019,33.9595985,400,7366.913,88000,0.125425678,2.31,6,66.31845093,1.372631311,11.22265771,12.45,65.15,22.4,86.15,0,2.6,42.21,40.25,19.90242682,0,50.75,49.25,1.75,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.4160004,33.9665985,445,12223.28,85036,0.285111746,2.22,6,66.41018677,1.365640879,13.1763807,5.82,87.61,6.57,62.15,5.19,14,41.01,32.81,43.65774331,5.62,14.61,79.78,2.696629213,0,78.15961732,42.54813703,63.78944742,5.269801199,99.2464539,0
-118.3919983,33.9650002,250,5248.055,108889,0.109754949,2.3,6,66.54579544,1.297688246,20.33852094,12.15,78.82,9.03,82.47,0,5.38,30.38,7.6,79.37202902,0,0,100,0,2.780885408,79.78348439,42.54813703,84.96943994,45.70842537,0,23.18542463
-118.3889999,33.9678001,600,9514.507,109063,0.156708062,2.49,6,66.58019395,1.300269604,20.33852094,17.3,75.18,7.51,66.13,6.3,13.41,46.75,49.67,79.37202902,0,6,94,0,2.780885408,79.78348439,42.54813703,84.96943994,45.70842537,0,23.18542463
-118.387001,33.9714012,396,7080.149,109833,0.152962871,2.73,6,66.59410422,1.289882421,20.33852094,13.39,52.45,34.16,60.39,1.11,29.73,48.5,0,79.37202902,5.05,5.05,89.9,11.86868687,2.780885408,79.78348439,42.54813703,84.96943994,45.70842537,0,23.18542463
-118.177002,34.0657005,562,10355.99,40667,0.182792739,3.37,9,67.1872406,1.184247255,52.44533872,23.3,70.16,6.55,9.19,0.37,84.84,29.43,66.37,90.54290718,0,50.53,49.46,9.252669039,52.13361036,85.58660624,27.71942986,83.60982911,96.02398233,0,40.49368205
-118.4690018,34.2711983,360,4090.78,45872,0.206073156,2.34,9,65.75533358,1.30319798,41.62068919,11.51,54.92,33.57,50.65,0,46.14,22.75,22.5,37.19039279,0,67.78,32.22,4.722222222,81.87629855,54.85901309,69.09227307,95.48459524,0,0,90.9491625
-118.461998,34.2785988,330,1912.532,71613,0.838678789,4.16,9,65.792895,1.285449505,41.62068919,18.2,56.43,25.37,23.5,0,62.66,39.57,12.12,37.19039279,0,25.45,74.55,6.96969697,81.87629855,54.85901309,69.09227307,95.48459524,0,0,90.9491625
-118.4649963,34.3087997,431,3339.313,46563,0.439611303,3.37,9,65.846241,1.234703779,36.00918472,19.62,71.12,9.26,19.55,1.09,78.61,17.12,17.87,51.82636978,11.37,65.66,22.97,6.032482599,86.09557296,50.98187311,69.09227307,20.46900337,50.61533607,0,0
-118.3099976,33.7342987,253,8373.799,123583,0.110702443,3.66,6,66.7448676,1.183366776,12.77674242,16.4,77.35,6.26,51.46,0,35.6,28.94,22.13,22.20415311,0,24.9,75.1,0,0,61.3796576,22.23055764,22.45228889,5.269801199,0,0
