x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.3040009,33.8181,875,14356.84,35885,0.227208775,3.56,6,67.64809011,67.64809011,40.10177799,35.71,62.39,1.9,7.23,4.17,77.44,60.63764562,96.57,65.4615962,8.228571429,52.57142857,39.2,1.828571429,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.2509995,33.7961006,162,2777.22,50000,0.314343155,5.39,6,67.56213045,67.56213045,44.04279929,38.03,56.93,5.04,0,16.72,81.1,62.65750286,77.16,42.39429572,0,51.85185185,48.14814815,12.34567901,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.3030014,33.8223,613,26225.26,33799,0.096471876,4.13,6,67.65956624,67.65956624,40.10177799,39.01,59.13,1.86,4.66,11.98,78.1,61.02766798,81.89,65.4615962,6.525285481,61.99021207,31.48450245,3.915171289,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.3040009,33.824501,358,15643.52,28030,0.082654051,3.61,6,67.6667511,67.6667511,40.10177799,29.93,63.19,6.88,12.22,0,73.94,57.61794277,56.42,65.4615962,0,38.82681564,61.17318436,0,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.2610016,33.8026009,453,15140.24,37003,0.125097105,4.18,6,67.57275645,67.57275645,41.70755292,33,59.24,7.76,3.22,2.69,89.92,60.87645195,45.7,64.17312985,2.428256071,30.90507726,66.66666667,0,0,66.51560926,22.23055764,38.31857303,78.25812559,0,87.21716133
-118.302002,33.8325005,647,18011.57,65215,0.123698257,3.44,6,67.68666712,67.68666712,32.29698259,36.85,58.44,4.71,10.64,0,64.86,59.42549372,59.97,17.12534401,4.482225657,36.47604328,59.04173107,0,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3069992,33.8334999,690,14117.6,44741,0.131750417,2.7,6,67.68896145,67.68896145,32.29698259,22.53,67.69,9.78,18.98,0.59,54.89,51.39784946,61.16,17.12534401,0,47.39130435,52.60869565,11.15942029,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3040009,33.8277016,834,16551.39,56184,0.15618026,3.1,6,67.67491913,67.67491913,32.29698259,25.96,67.16,6.89,15.24,1.7,60.5,47.19535783,63.91,17.12534401,0,29.85611511,70.14388489,0,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3040009,33.8376999,248,9243.415,70227,0.09498654,3.54,6,67.69973428,67.69973428,51.02566436,31.21,60.82,7.97,42.26,0,28.02,64.23690205,16.13,29.85989492,0,8.064516129,91.93548387,9.274193548,0,70.83333333,44.54863716,89.55968567,95.10886715,94.43705674,58.44842786
-118.302002,33.839901,340,12165.58,77188,0.08507607,3.04,6,67.70570526,67.70570526,51.02566436,17.87,62.8,19.32,21.06,0,63,47.63285024,22.35,29.85989492,0,24.41176471,75.58823529,0,0,70.83333333,44.54863716,89.55968567,95.10886715,94.43705674,58.44842786
