x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.3040009,33.8181,800,11302.38,38043,0.227208775,3.18,6,70.75714874,1.139823675,40.10177799,33.18,62.61,4.21,6.85,7.67,70.68,14.58,97.25,65.4615962,9,61.38,29.62,7,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.2509995,33.7961006,127,2335.028,62417,0.314343155,5.78,6,70.75714874,1.150370717,44.04279929,26.57,67.03,6.4,0,8.45,89.51,19.94,50.39,42.39429572,0,69.29,30.71,10.23622047,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.3030014,33.8223,659,29531.92,32288,0.096471876,4.31,6,70.75714874,1.137096882,40.10177799,39.91,58.13,1.97,1.4,5.05,82.8,19.54,83.46,65.4615962,9.72,61.01,29.29,3.490136571,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.3040009,33.824501,301,9739.39,28317,0.082654051,2.67,6,70.75714874,1.135224462,40.10177799,15.03,67.83,17.14,28.32,0,32.67,32.36,37.54,65.4615962,2.33,38.21,59.47,2.990033223,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.2610016,33.8026009,396,14644.62,56490,0.125097105,4.63,6,70.75714874,1.148001313,41.70755292,26.75,68.12,5.13,2.35,4.26,91.92,27.15,40.91,64.17312985,2.53,10.1,87.37,0,0,66.51560926,22.23055764,38.31857303,78.25812559,0,87.21716133
-118.302002,33.8325005,689,20412.58,59267,0.123698257,3.66,6,70.75714874,1.132341981,32.29698259,32.55,61.15,6.3,7.33,0,61.27,20.32,68.8,17.12534401,4.79,40.79,54.43,5.079825835,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3069992,33.8334999,632,12166.94,51515,0.131750417,2.54,6,70.75714874,1.132074118,32.29698259,22.71,69.12,8.17,11.73,4.05,40.99,28.57,66.3,17.12534401,0,53.96,46.05,16.13924051,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3040009,33.8277016,704,13439.6,60682,0.15618026,2.96,6,70.75714874,1.134273052,32.29698259,24.34,61.88,13.77,15.63,3.53,60.12,25.09,57.1,17.12534401,0,28.55,71.45,5.823863636,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3040009,33.8376999,256,10011.94,89828,0.09498654,3.71,6,70.75714874,1.129381061,51.02566436,24.92,65.72,9.36,37.01,0.11,24.71,23.02,9.77,29.85989492,0,14.07,85.94,17.578125,0,70.83333333,44.54863716,89.55968567,95.10886715,94.43705674,58.44842786
-118.302002,33.839901,237,8933.182,76458,0.08507607,3.16,6,70.75714874,1.128378868,51.02566436,13.68,67.63,18.68,20.79,1.18,58.42,22.84,29.96,29.85989492,0,28.69,71.31,0,0,70.83333333,44.54863716,89.55968567,95.10886715,94.43705674,58.44842786
-118.3639984,34.2560005,614,1366.995,110833,1.10827,2.45,9,70.78060596,1.013121843,16.30077441,12.67,71.75,15.58,73.6,0.13,16.17,41.81,10.75,40.08006005,12.87,31.6,55.53,7.654723127,75.51542273,61.17824773,69.09227307,43.42023201,31.09813821,0,77.28474875
-118.3040009,33.8638,357,6457.069,56250,0.140775942,2.55,8,70.77967377,1.118282914,49.82060075,13.31,59.51,27.17,17.49,0,18.81,46.45,12.89,63.88541406,0,24.09,75.91,0,0,72.01661631,74.56864216,97.21841088,90.39129063,98.3820922,83.39700264
-118.288002,33.8764992,663,10731.4,46964,0.191121349,3.09,8,70.78600103,1.120184422,67.67334749,25.55,59.87,14.58,3.22,8.97,63.33,23.03,42.99,74.26820115,6.18,43.44,50.38,3.619909502,0,73.275428,74.56864216,91.96706998,87.80372357,98.3820922,41.05201293
-118.4800034,34.3190994,391,3872.906,58472,0.398408796,3.34,9,70.75714874,1.1940943,35.66416968,43.49,46.92,9.59,15.68,9.07,69.02,33.16,40.15,73.17988491,21.48,78.52,0,0,88.81252997,49.10624371,60.35258815,97.3680928,43.54686021,0,81.4869233
-118.5090027,34.3189011,504,997.5847,104464,1.670033606,3.22,9,70.75714874,1.204917789,24.80209249,21.55,64.17,14.29,54.86,3.36,24.97,47.36,9.13,85.3765324,0,100.01,0,0,87.86958606,48.91742195,60.46511628,98.66533616,15.52540234,41.97695035,93.65265942
-118.2900009,33.7481003,327,7634.968,40906,0.119974301,2.79,6,70.75714874,1.15839231,44.13617686,22.71,64.3,12.99,10.26,5.79,83.08,43.85,77.06,71.5911934,2.45,59.02,38.53,14.67889908,0,62.33635448,22.23055764,61.38206312,70.2903124,76.52925532,37.87834264
-118.4069977,33.9639015,342,7411.333,80500,0.102545649,2.22,6,70.11458206,1.216192245,13.59699218,20,52.23,27.76,71.45,0,19.87,59.15,12.28,13.52264198,0,6.14,93.86,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4100037,33.9613991,322,9087.416,75000,0.093866072,2.65,6,70.05759811,1.214050531,13.59699218,10.08,72.45,17.47,75.5,0.7,14.19,42.48,22.98,13.52264198,3.73,22.35,73.9,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4339981,33.9660988,424,1859.345,201500,0.555572072,2.44,6,70.25904384,1.229095221,11.22265771,20.91,64.86,14.23,65.44,1.06,10.55,55.62,7.78,19.90242682,27.12,58.5,14.39,2.122641509,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.4209976,33.9664993,258,8754.706,88125,0.175105831,2.42,6,70.16657903,1.224466562,13.1763807,6.98,87.54,5.48,57.53,2.74,16.18,39.47,22.87,43.65774331,6.59,19.76,73.64,0,0,78.15961732,42.54813703,63.78944742,5.269801199,99.2464539,0
