x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.4069977,33.9639015,299,7138.284,93828,0.102545649,2.45,6,67.10306168,67.10306168,13.59699218,21.31,60.52,18.17,68.31,0,17.49,37.97814208,5.35,13.52264198,0,3.344481605,96.65551839,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4100037,33.9613991,331,8948.92,100917,0.093866072,2.54,6,67.05195236,67.05195236,13.59699218,14.64,71.9,13.45,73.81,0,16.19,48.45238095,29.31,13.52264198,3.625377644,24.7734139,71.60120846,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4339981,33.9660988,381,1758.548,189306,0.555572072,2.56,6,67.08591299,67.08591299,11.22265771,16.48,69.91,13.61,63.56,7.98,7.68,41.45342886,10.5,19.90242682,20.73490814,70.07874016,9.186351706,5.511811024,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.4209976,33.9664993,268,7612.539,83654,0.175105831,1.96,6,67.07115525,67.07115525,13.1763807,5.7,88.6,5.7,61.67,4.13,19.73,45.08627157,13.81,43.65774331,6.71641791,13.05970149,80.2238806,0,0,78.15961732,42.54813703,63.78944742,5.269801199,99.2464539,0
-118.4000015,33.9617996,375,8328.52,77054,0.126673174,2.81,6,67.13755512,67.13755512,15.66477387,18.39,68.53,13.08,49.38,0,24.08,54.5971564,22.93,17.22541906,0,17.33333333,82.66666667,27.2,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.2870026,33.8807983,108,13957.08,29500,0.035824104,4.63,8,67.79428101,67.79428101,67.67334749,43.2,52.4,4.4,1.6,0,95.8,67,91.67,74.26820115,19.44444444,67.59259259,12.96296296,0,0,73.275428,74.56864216,91.96706998,87.80372357,98.3820922,41.05201293
-118.2419968,33.7961998,154,3085.617,33423,0.233664789,4.68,6,67.55713545,67.55713545,44.04279929,34.67,64.5,0.83,0,0,100,63.24549237,57.14,42.39429572,0,35.71428571,64.28571429,16.88311688,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.2839966,33.8893013,373,8024.147,71701,0.149050111,3.21,8,67.83722941,67.83722941,57.67298524,19.82,75.58,4.6,0.92,35.2,47.83,33.02675585,32.71,72.92969727,0,68.36461126,31.63538874,7.506702413,0,74.60976838,74.56864216,90.68230011,90.31240139,0,95.70966794
-118.4580002,34.3102989,535,7137.863,67721,0.273611306,3.65,9,67.41025543,67.41025543,36.00918472,30.21,57.61,12.19,13.77,4.81,77.42,58.16692268,19.44,51.82636978,13.8317757,53.08411215,33.08411215,0,86.09557296,50.98187311,69.09227307,20.46900337,50.61533607,0,0
-118.4089966,33.9688988,346,8821.071,139643,0.108603592,2.77,6,67.14275614,67.14275614,13.59699218,26.3,60.54,13.15,64.09,2.19,7.83,40.70981211,0,13.52264198,6.358381503,0,93.6416185,8.092485549,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4309998,33.9612007,374,10380.89,62315,0.069165571,1.92,6,67.03877411,67.03877411,11.22265771,7.66,70.05,22.28,75.63,1.11,1.39,35.2367688,51.34,19.90242682,2.673796791,90.37433155,6.951871658,8.823529412,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.4120026,33.9655991,215,8837.823,149688,0.071171372,2.93,6,67.09243622,67.09243622,13.59699218,17.65,63.12,19.24,47.22,0,41.65,51.19236884,6.51,13.52264198,0,7.906976744,92.09302326,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.2060013,34.0195999,683,20873.87,22023,0.126473945,3.87,8,67.98307896,67.98307896,66.18882193,39.66,50.26,10.08,0,0,96.74,72.99242424,92.24,67.40055041,0,71.30307467,28.69692533,12.88433382,38.85248522,87.61329305,74.56864216,30.94673818,79.77279899,71.63120567,69.11548634
-118.4110031,33.9728012,384,9075.597,208125,0.116466177,2.75,6,67.17568207,67.17568207,13.59699218,23.65,61.11,15.23,69.25,0,10.12,50.80416272,17.45,13.52264198,3.125,37.23958333,59.63541667,0,0,78.62537764,42.54813703,23.58737682,16.58251814,0,0
-118.4250031,33.9614983,437,10048.77,141688,0.111754958,2.57,6,67.0235781,67.0235781,11.22265771,18.52,77.65,3.83,61.09,0,19.77,37.66696349,25.86,19.90242682,9.38215103,16.24713959,74.37070938,6.864988558,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.3779984,33.9752998,1582,23262.94,60385,0.125994406,1.85,6,67.58053165,67.58053165,17.3416093,18.18,78.16,3.65,18.05,57.11,5.02,32.51450017,94.5,36.77758319,24.14664981,62.51580278,13.33754741,6.890012642,5.625699217,80.90382679,42.54813703,95.5469627,36.79394131,0,27.50514252
-118.4410019,33.9595985,408,6147.066,111875,0.125425678,1.89,6,67.07846324,67.07846324,11.22265771,9.21,69,21.79,81.19,0,1.82,35.66796368,38.24,19.90242682,0,52.69607843,47.30392157,0,0,77.12739174,42.54813703,64.67506549,0.710003156,99.95567376,0
-118.4160004,33.9665985,483,11202.63,83229,0.285111746,2.06,6,67.07666219,67.07666219,13.1763807,7.23,85.7,7.08,68.13,4.98,18.25,50.90795241,31.06,43.65774331,4.140786749,17.39130435,78.4679089,0,0,78.15961732,42.54813703,63.78944742,5.269801199,99.2464539,0
-118.3919983,33.9650002,285,6277.621,143359,0.109754949,2.42,6,67.27289963,67.27289963,20.33852094,9.43,71.99,18.58,59.51,0,39.19,35.8490566,6.67,79.37202902,0,0,100,0,2.780885408,79.78348439,42.54813703,84.96943994,45.70842537,0,23.18542463
-118.3889999,33.9678001,559,8716.846,103580,0.156708062,2.44,6,67.36132951,67.36132951,20.33852094,19.25,69.62,11.13,75.04,1.02,5.86,39.45827233,28.09,79.37202902,0,6.440071556,93.55992844,0,2.780885408,79.78348439,42.54813703,84.96943994,45.70842537,0,23.18542463
-118.387001,33.9714012,421,8073.855,127375,0.152962871,2.93,6,67.41497912,67.41497912,20.33852094,20.73,61.22,18.06,54.98,0,35.22,50.36437247,0,79.37202902,0,0,100,10.45130641,2.780885408,79.78348439,42.54813703,84.96943994,45.70842537,0,23.18542463
-118.177002,34.0657005,570,10728,39167,0.182792739,3.44,9,67.67995106,67.67995106,52.44533872,24.99,69.45,5.56,9.84,0,79.5,56.96073432,50.18,90.54290718,0,46.66666667,53.33333333,4.912280702,52.13361036,85.58660624,27.71942986,83.60982911,96.02398233,0,40.49368205
-118.4690018,34.2711983,339,4847.218,40871,0.205891301,2.94,9,67.07667033,67.07667033,41.62068919,22.75,54.01,23.25,34.87,0,65.13,62.0240481,9.73,37.19039279,0,65.19174041,34.80825959,3.539823009,81.87629855,54.85901309,69.09227307,95.48459524,0,0,90.9491625
-118.461998,34.2785988,386,2164.39,55556,0.839497326,3.47,9,67.1660427,67.1660427,41.62068919,8.48,52.78,38.75,33.3,2.2,46.01,69.51018162,9.33,37.19039279,0,42.22797927,57.77202073,0,81.87629855,54.85901309,69.09227307,95.48459524,0,0,90.9491625
-118.4649963,34.3087997,610,4681.367,46667,0.439615164,3.37,9,67.38755857,67.38755857,36.00918472,29.01,60.26,10.74,5.59,0.49,91.3,55.15063168,23.11,51.82636978,3.442622951,74.75409836,21.80327869,4.918032787,86.09557296,50.98187311,69.09227307,20.46900337,50.61533607,0,0
-118.3099976,33.7342987,258,7091.081,83333,0.110702443,3.04,6,67.57756042,67.57756042,12.77674242,21.53,74.02,4.46,60.38,2.55,23.31,49.42675159,46.12,22.20415311,0,32.17054264,67.82945736,21.70542636,0,61.3796576,22.23055764,22.45228889,5.269801199,0,0
-118.3059998,33.7262001,244,6341.049,76806,0.081689954,2.12,6,67.57756042,67.57756042,10.9778109,10.23,54.44,35.33,68.34,0,29.54,73.35907336,11.48,11.54615962,0,11.8852459,88.1147541,0,0,59.10120846,22.23055764,17.64999376,15.52540234,41.97695035,0
