rchid,type,parmname,value1
1017,1,RO,1.241926801750e+006
1017,1,BP,0.000000000000e+000
1018,-1,USIF,0.000000000000e+000
1018,-2,LUIF,1.547582701906e+007
1018,-1,USBP,0.000000000000e+000
1018,-2,LUBP,0.000000000000e+000
1018,-3,PSIF,0.000000000000e+000
1018,-4,PSWD,0.000000000000e+000
1018,-4,PSDT,0.000000000000e+000
1018,0,IVOL,1.547582701906e+007
1018,1,RO,1.558885960393e+007
1018,1,BP,0.000000000000e+000
1019,-1,USIF,0.000000000000e+000
1019,-2,LUIF,6.419473128233e+006
1019,-1,USBP,0.000000000000e+000
1019,-2,LUBP,0.000000000000e+000
1019,-3,PSIF,0.000000000000e+000
1019,-4,PSWD,0.000000000000e+000
1019,-4,PSDT,0.000000000000e+000
1019,0,IVOL,6.419473128233e+006
1019,1,RO,6.419473128233e+006
1019,1,BP,0.000000000000e+000
1020,-1,USIF,0.000000000000e+000
1020,-2,LUIF,2.131404137901e+007
1020,-1,USBP,0.000000000000e+000
1020,-2,LUBP,0.000000000000e+000
1020,-3,PSIF,0.000000000000e+000
1020,-4,PSWD,0.000000000000e+000
1020,-4,PSDT,0.000000000000e+000
1020,0,IVOL,2.131404137901e+007
1020,1,RO,2.149662695513e+007
1020,1,BP,0.000000000000e+000
1022,-1,USIF,0.000000000000e+000
1022,-2,LUIF,2.070132951698e+007
1022,-1,USBP,0.000000000000e+000
1022,-2,LUBP,0.000000000000e+000
1022,-3,PSIF,0.000000000000e+000
1022,-4,PSWD,0.000000000000e+000
1022,-4,PSDT,0.000000000000e+000
1022,0,IVOL,2.070132951698e+007
1022,1,RO,2.070132951698e+007
1022,1,BP,0.000000000000e+000
1025,-1,USIF,0.000000000000e+000
1025,-2,LUIF,8.806548281212e+006
1025,-1,USBP,0.000000000000e+000
1025,-2,LUBP,0.000000000000e+000
1025,-3,PSIF,0.000000000000e+000
1025,-4,PSWD,0.000000000000e+000
1025,-4,PSDT,0.000000000000e+000
1025,0,IVOL,8.806548281212e+006
1025,1,RO,8.806548281212e+006
1025,1,BP,0.000000000000e+000
1027,-1,USIF,0.000000000000e+000
1027,-2,LUIF,5.103238892664e+006
1027,-1,USBP,0.000000000000e+000
1027,-2,LUBP,0.000000000000e+000
1027,-3,PSIF,0.000000000000e+000
1027,-4,PSWD,0.000000000000e+000
1027,-4,PSDT,0.000000000000e+000
1027,0,IVOL,5.103238892664e+006
1027,1,RO,5.103238892664e+006
1027,1,BP,0.000000000000e+000
1029,-1,USIF,0.000000000000e+000
1029,-2,LUIF,1.693173463782e+007
1029,-1,USBP,0.000000000000e+000
1029,-2,LUBP,0.000000000000e+000
1029,-3,PSIF,0.000000000000e+000
1029,-4,PSWD,0.000000000000e+000
1029,-4,PSDT,0.000000000000e+000
1029,0,IVOL,1.693173463782e+007
1029,1,RO,1.693173463782e+007
1029,1,BP,0.000000000000e+000
1030,-1,USIF,0.000000000000e+000
1030,-2,LUIF,5.313431036911e+007
1030,-1,USBP,0.000000000000e+000
1030,-2,LUBP,0.000000000000e+000
1030,-3,PSIF,0.000000000000e+000
1030,-4,PSWD,0.000000000000e+000
1030,-4,PSDT,0.000000000000e+000
1030,0,IVOL,5.313431036911e+007
1030,1,RO,5.347750533693e+007
1030,1,BP,0.000000000000e+000
1032,-1,USIF,0.000000000000e+000
1032,-2,LUIF,1.868742373610e+008
1032,-1,USBP,0.000000000000e+000
1032,-2,LUBP,0.000000000000e+000
1032,-3,PSIF,0.000000000000e+000
1032,-4,PSWD,0.000000000000e+000
1032,-4,PSDT,0.000000000000e+000
1032,0,IVOL,1.868742373610e+008
1032,1,RO,1.868742373610e+008
1032,1,BP,0.000000000000e+000
1035,-1,USIF,0.000000000000e+000
1035,-2,LUIF,2.067526956283e+007
1035,-1,USBP,0.000000000000e+000
1035,-2,LUBP,0.000000000000e+000
1035,-3,PSIF,0.000000000000e+000
1035,-4,PSWD,0.000000000000e+000
1035,-4,PSDT,0.000000000000e+000
1035,0,IVOL,2.067526956283e+007
1035,1,RO,2.067526956283e+007
1035,1,BP,0.000000000000e+000
1038,-1,USIF,0.000000000000e+000
1038,-2,LUIF,2.962226855683e+007
1038,-1,USBP,0.000000000000e+000
1038,-2,LUBP,0.000000000000e+000
1038,-3,PSIF,0.000000000000e+000
1038,-4,PSWD,0.000000000000e+000
1038,-4,PSDT,0.000000000000e+000
1038,0,IVOL,2.962226855683e+007
1038,1,RO,2.962226855683e+007
1038,1,BP,0.000000000000e+000
1039,-1,USIF,0.000000000000e+000
1039,-2,LUIF,1.626913845089e+007
1039,-1,USBP,0.000000000000e+000
1039,-2,LUBP,0.000000000000e+000
1039,-3,PSIF,0.000000000000e+000
1039,-4,PSWD,0.000000000000e+000
1039,-4,PSDT,0.000000000000e+000
1039,0,IVOL,1.626913845089e+007
1039,1,RO,1.626913845089e+007
1039,1,BP,0.000000000000e+000
1041,-1,USIF,0.000000000000e+000
1041,-2,LUIF,7.133726271943e+006
1041,-1,USBP,0.000000000000e+000
1041,-2,LUBP,0.000000000000e+000
1041,-3,PSIF,0.000000000000e+000
1041,-4,PSWD,0.000000000000e+000
1041,-4,PSDT,0.000000000000e+000
1041,0,IVOL,7.133726271943e+006
1041,1,RO,7.133726271943e+006
1041,1,BP,0.000000000000e+000
1042,-1,USIF,0.000000000000e+000
1042,-2,LUIF,4.442676111636e+006
1042,-1,USBP,0.000000000000e+000
1042,-2,LUBP,0.000000000000e+000
1042,-3,PSIF,0.000000000000e+000
1042,-4,PSWD,0.000000000000e+000
1042,-4,PSDT,0.000000000000e+000
1042,0,IVOL,4.442676111636e+006
1042,1,RO,4.442676111636e+006
1042,1,BP,0.000000000000e+000
1044,-1,USIF,0.000000000000e+000
1044,-2,LUIF,2.664238326825e+007
1044,-1,USBP,0.000000000000e+000
1044,-2,LUBP,0.000000000000e+000
1044,-3,PSIF,0.000000000000e+000
1044,-4,PSWD,0.000000000000e+000
1044,-4,PSDT,0.000000000000e+000
1044,0,IVOL,2.664238326825e+007
1044,1,RO,2.664238326825e+007
1044,1,BP,0.000000000000e+000
1045,-1,USIF,0.000000000000e+000
1045,-2,LUIF,8.195416917077e+006
1045,-1,USBP,0.000000000000e+000
1045,-2,LUBP,0.000000000000e+000
1045,-3,PSIF,0.000000000000e+000
1045,-4,PSWD,0.000000000000e+000
1045,-4,PSDT,0.000000000000e+000
1045,0,IVOL,8.195416917077e+006
1045,1,RO,8.195416917077e+006
1045,1,BP,0.000000000000e+000
1047,-1,USIF,0.000000000000e+000
1047,-2,LUIF,6.593277340441e+005
1047,-1,USBP,0.000000000000e+000
1047,-2,LUBP,0.000000000000e+000
1047,-3,PSIF,0.000000000000e+000
1047,-4,PSWD,0.000000000000e+000
1047,-4,PSDT,0.000000000000e+000
1047,0,IVOL,6.593277340441e+005
1047,1,RO,6.593277340441e+005
1047,1,BP,0.000000000000e+000
1048,-1,USIF,0.000000000000e+000
1048,-2,LUIF,9.216938620546e+005
1048,-1,USBP,0.000000000000e+000
1048,-2,LUBP,0.000000000000e+000
1048,-3,PSIF,0.000000000000e+000
1048,-4,PSWD,0.000000000000e+000
1048,-4,PSDT,0.000000000000e+000
1048,0,IVOL,9.216938620546e+005
1048,1,RO,9.216938620546e+005
1048,1,BP,0.000000000000e+000
1050,-1,USIF,0.000000000000e+000
1050,-2,LUIF,2.738196463940e+007
1050,-1,USBP,0.000000000000e+000
1050,-2,LUBP,0.000000000000e+000
1050,-3,PSIF,0.000000000000e+000
1050,-4,PSWD,0.000000000000e+000
1050,-4,PSDT,0.000000000000e+000
1050,0,IVOL,2.738196463940e+007
1050,1,RO,2.765310892645e+007
1050,1,BP,0.000000000000e+000
1052,-1,USIF,0.000000000000e+000
1052,-2,LUIF,9.798549570673e+006
1052,-1,USBP,0.000000000000e+000
1052,-2,LUBP,0.000000000000e+000
1052,-3,PSIF,0.000000000000e+000
1052,-4,PSWD,0.000000000000e+000
1052,-4,PSDT,0.000000000000e+000
1052,0,IVOL,9.798549570673e+006
1052,1,RO,9.798549570673e+006
1052,1,BP,0.000000000000e+000
1055,-1,USIF,0.000000000000e+000
1055,-2,LUIF,3.115801235569e+007
1055,-1,USBP,0.000000000000e+000
1055,-2,LUBP,0.000000000000e+000
1055,-3,PSIF,0.000000000000e+000
1055,-4,PSWD,0.000000000000e+000
1055,-4,PSDT,0.000000000000e+000
1055,0,IVOL,3.115801235569e+007
1055,1,RO,3.115801235569e+007
1055,1,BP,0.000000000000e+000
1056,-1,USIF,0.000000000000e+000
1056,-2,LUIF,6.802521973178e+006
1056,-1,USBP,0.000000000000e+000
1056,-2,LUBP,0.000000000000e+000
1056,-3,PSIF,0.000000000000e+000
1056,-4,PSWD,0.000000000000e+000
1056,-4,PSDT,0.000000000000e+000
1056,0,IVOL,6.802521973178e+006
1056,1,RO,6.802521973178e+006
1056,1,BP,0.000000000000e+000
1058,-1,USIF,0.000000000000e+000
1058,-2,LUIF,7.026176078374e+006
1058,-1,USBP,0.000000000000e+000
1058,-2,LUBP,0.000000000000e+000
1058,-3,PSIF,0.000000000000e+000
1058,-4,PSWD,0.000000000000e+000
1058,-4,PSDT,0.000000000000e+000
1058,0,IVOL,7.026176078374e+006
1058,1,RO,7.026176078374e+006
1058,1,BP,0.000000000000e+000
1060,-1,USIF,0.000000000000e+000
1060,-2,LUIF,1.100408861523e+007
1060,-1,USBP,0.000000000000e+000
1060,-2,LUBP,0.000000000000e+000
1060,-3,PSIF,0.000000000000e+000
1060,-4,PSWD,0.000000000000e+000
1060,-4,PSDT,0.000000000000e+000
1060,0,IVOL,1.100408861523e+007
1060,1,RO,1.100408861523e+007
1060,1,BP,0.000000000000e+000
1062,-1,USIF,0.000000000000e+000
1062,-2,LUIF,1.730324091579e+007
1062,-1,USBP,0.000000000000e+000
1062,-2,LUBP,0.000000000000e+000
1062,-3,PSIF,0.000000000000e+000
1062,-4,PSWD,0.000000000000e+000
1062,-4,PSDT,0.000000000000e+000
1062,0,IVOL,1.730324091579e+007
1062,1,RO,1.730324091579e+007
1062,1,BP,0.000000000000e+000
1063,-1,USIF,0.000000000000e+000
1063,-2,LUIF,4.873764088054e+006
1063,-1,USBP,0.000000000000e+000
1063,-2,LUBP,0.000000000000e+000
1063,-3,PSIF,0.000000000000e+000
1063,-4,PSWD,0.000000000000e+000
1063,-4,PSDT,0.000000000000e+000
1063,0,IVOL,4.873764088054e+006
1063,1,RO,4.946344350873e+006
1063,1,BP,0.000000000000e+000
1064,-1,USIF,0.000000000000e+000
1064,-2,LUIF,4.154394670299e+006
1064,-1,USBP,0.000000000000e+000
1064,-2,LUBP,0.000000000000e+000
1064,-3,PSIF,0.000000000000e+000
1064,-4,PSWD,0.000000000000e+000
1064,-4,PSDT,0.000000000000e+000
1064,0,IVOL,4.154394670299e+006
1064,1,RO,4.154394670299e+006
1064,1,BP,0.000000000000e+000
1065,-1,USIF,0.000000000000e+000
1065,-2,LUIF,3.629568764625e+006
1065,-1,USBP,0.000000000000e+000
1065,-2,LUBP,0.000000000000e+000
1065,-3,PSIF,0.000000000000e+000
1065,-4,PSWD,0.000000000000e+000
1065,-4,PSDT,0.000000000000e+000
1065,0,IVOL,3.629568764625e+006
1065,1,RO,3.629568764625e+006
1065,1,BP,0.000000000000e+000
1066,-1,USIF,0.000000000000e+000
1066,-2,LUIF,9.855556618804e+005
1066,-1,USBP,0.000000000000e+000
1066,-2,LUBP,0.000000000000e+000
1066,-3,PSIF,0.000000000000e+000
1066,-4,PSWD,0.000000000000e+000
1066,-4,PSDT,0.000000000000e+000
1066,0,IVOL,9.855556618804e+005
1066,1,RO,9.855556618804e+005
1066,1,BP,0.000000000000e+000
1067,-1,USIF,0.000000000000e+000
1067,-2,LUIF,5.981659016167e+007
1067,-1,USBP,0.000000000000e+000
1067,-2,LUBP,0.000000000000e+000
1067,-3,PSIF,0.000000000000e+000
1067,-4,PSWD,0.000000000000e+000
1067,-4,PSDT,0.000000000000e+000
1067,0,IVOL,5.981659016167e+007
1067,1,RO,5.981659016167e+007
1067,1,BP,0.000000000000e+000
1068,-1,USIF,0.000000000000e+000
1068,-2,LUIF,1.592426490679e+006
1068,-1,USBP,0.000000000000e+000
1068,-2,LUBP,0.000000000000e+000
1068,-3,PSIF,0.000000000000e+000
1068,-4,PSWD,0.000000000000e+000
1068,-4,PSDT,0.000000000000e+000
1068,0,IVOL,1.592426490679e+006
1068,1,RO,1.592426490679e+006
1068,1,BP,0.000000000000e+000
1069,-1,USIF,0.000000000000e+000
1069,-2,LUIF,4.089076022209e+006
1069,-1,USBP,0.000000000000e+000
1069,-2,LUBP,0.000000000000e+000
1069,-3,PSIF,0.000000000000e+000
1069,-4,PSWD,0.000000000000e+000
1069,-4,PSDT,0.000000000000e+000
1069,0,IVOL,4.089076022209e+006
1069,1,RO,4.089076022209e+006
1069,1,BP,0.000000000000e+000
1072,-1,USIF,0.000000000000e+000
1072,-2,LUIF,1.658820172790e+006
1072,-1,USBP,0.000000000000e+000
1072,-2,LUBP,0.000000000000e+000
1072,-3,PSIF,0.000000000000e+000
1072,-4,PSWD,0.000000000000e+000
1072,-4,PSDT,0.000000000000e+000
1072,0,IVOL,1.658820172790e+006
1072,1,RO,1.658820172790e+006
1072,1,BP,0.000000000000e+000
1074,-1,USIF,0.000000000000e+000
1074,-2,LUIF,1.833900645426e+007
1074,-1,USBP,0.000000000000e+000
1074,-2,LUBP,0.000000000000e+000
1074,-3,PSIF,0.000000000000e+000
1074,-4,PSWD,0.000000000000e+000
1074,-4,PSDT,0.000000000000e+000
1074,0,IVOL,1.833900645426e+007
1074,1,RO,1.833900645426e+007
1074,1,BP,0.000000000000e+000
1075,-1,USIF,0.000000000000e+000
1075,-2,LUIF,3.782523282872e+007
1075,-1,USBP,0.000000000000e+000
1075,-2,LUBP,0.000000000000e+000
1075,-3,PSIF,0.000000000000e+000
1075,-4,PSWD,0.000000000000e+000
1075,-4,PSDT,0.000000000000e+000
1075,0,IVOL,3.782523282872e+007
1075,1,RO,3.782523282872e+007
1075,1,BP,0.000000000000e+000
1077,-1,USIF,0.000000000000e+000
1077,-2,LUIF,2.438933253493e+007
1077,-1,USBP,0.000000000000e+000
1077,-2,LUBP,0.000000000000e+000
1077,-3,PSIF,0.000000000000e+000
1077,-4,PSWD,0.000000000000e+000
1077,-4,PSDT,0.000000000000e+000
1077,0,IVOL,2.438933253493e+007
1077,1,RO,2.457139031048e+007
1077,1,BP,0.000000000000e+000
1079,-1,USIF,0.000000000000e+000
